shopCode,name,proposedCategory,proposedSubcategory,confidence,status,group,detectedFamily,explanation,correct,correctCategory,reviewerComment
А-01667,"Ответная часть ремня Газель, 1 шт",,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Г-00413,Вставка нейтрализ.21074 Евро-3,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Г-00632,Вставка нейтрализ. Евро-3 21074,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ЗЧМ-00530,Набор крышки бардачка 2141,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
К-00340,Гайка М 6 крышки клап. 2108,,,0,MANUAL_REVIEW,no_match|nuts|nuts,nuts,Категория и подкатегория не определены правилами.,,,
К-00470,Скоба крышки бака 2101-07,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КГ-00260,Болт М8Х25*1.25мм поддона пер. крышки 406,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00322,"Болт верх. механизма натяж. ремня, топлив",,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00344,Болт М16*100*1.5 лебедки К-4310 кр-на дв-,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00368,Болт М14*45*1.5 кр-на мех-ма уравновеш. к,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00396,Гайка М13*1.25 шатунная болта нов. обр.,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00478,Шпилька М27*86*1.5 крепления кр-на баланс,,,0,MANUAL_REVIEW,no_match|studs|studs,studs,Категория и подкатегория не определены правилами.,,,
КГ-00492,Гайка М42х1.5 вала 110 (шестерни 13зуб),,,0,MANUAL_REVIEW,no_match|nuts|nuts,nuts,Категория и подкатегория не определены правилами.,,,
КГ-00756,Гайка М10*1 омедн. коромысла КАМАЗ,,,0,MANUAL_REVIEW,no_match|nuts|nuts,nuts,Категория и подкатегория не определены правилами.,,,
КГ-01072,Тройник М8 латунный,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01112,Болт-штуцер трубок обратки Бычок,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-01373,Фитинг метал. переходной угловой д.6,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01374,Фитинг метал. переходной угловой д.8,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01375,Фитинг метал. переходной угловой д.10,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01376,Фитинг метал. переходной угловой д.12,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КР-00139,Упор замка 2108 (эластичн.),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00401,Запор вещевого ящика 2108,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00100,Замок внутренний 2105 (механизм),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00041,Упор стекла,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00319,Комплект задней обшивки 2108,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ЗЧМ-00112,Валик коробки 2141,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ЗЧМ-00145,Подушки коробки 2140,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-00533,Скобы и винты для иномарок,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КР-00330,Комплект задней обшивки 2108,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00331,Комплект задней обшивки 21099,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00313,Заглушка ручки сиденья 2108,,,0,MANUAL_REVIEW,no_match|caps_plugs|caps-plugs,caps_plugs,Категория и подкатегория не определены правилами.,,,
КР-00192,Замок задний 2109 в сборе,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
РГ-00280,Рем.к-т системы выхлопа УАЗ-469,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00217,Ремкомплект заднего замка 2108,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-00374,Опора SM 23018,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-00557,"Подушка двиг.NMN16RH,NM B15F",,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
А-00971,Отбойник пер.панели Газель н/о,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Г-00347,Патрубок (инжектор крив.) 5320 КАМАЗ,,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
Г-00348,Патрубок (инжектор прям.) 5511 КАМАЗ,,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
ДВ-00289,"Кольцо стопорное d47,5 гайки трубы картер",,,0,MANUAL_REVIEW,no_match|rings|rings,rings,Категория и подкатегория не определены правилами.,,,
ДВ-00396,Пыльник маховика 2108,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00486,Шатун Лада-Приора (за 1 шт),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ЗЧМ-00396,Набор тяги газа 2141,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
К-00142,Шайба стопорная фигурная М 8 д.,,,0,MANUAL_REVIEW,no_match|washers|washers,washers,Категория и подкатегория не определены правилами.,,,
К-00900,Заглушка Веста большая (овал),,,0,MANUAL_REVIEW,no_match|caps_plugs|caps-plugs,caps_plugs,Категория и подкатегория не определены правилами.,,,
КГ-00158,Втулка распорная пром. вала УАЗ (стар. об,,,0,MANUAL_REVIEW,no_match|bushings|bushings,bushings,Категория и подкатегория не определены правилами.,,,
КГ-00417,Втулка соед. глушит. ГАЗ-3302 Евро-3 в сб,,,0,MANUAL_REVIEW,no_match|bushings|bushings,bushings,Категория и подкатегория не определены правилами.,,,
КГ-00482,Шпилька М20*60*1.5 перед. кр-на реакт. шт,,,0,MANUAL_REVIEW,no_match|studs|studs,studs,Категория и подкатегория не определены правилами.,,,
КР-00066,Запор бардачка 2105-07,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00566,"Вставка рем. под хомут с гайкой под л/з,",,,0,MANUAL_REVIEW,no_match|clamps|clamps,clamps,Категория и подкатегория не определены правилами.,,,
ХСГ-00908,Тяга реактивная ЗИЛ-131,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КГ-00530,"Болт М12*70*1,5 (10,9) с фланцем,конус",,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00576,"Болт М12*75*1,5 (10,9) с фланцем, конус",,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00584,"Болт М12*90*1,5 (10,9) с фланцем, конус",,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00733,"Болт М12*100*1,5 (10,9) с фланцем, конус",,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
Р-00076,К-т патрубков Зил-130,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
А-01728,"Уплотнитель стекол на иномарки, УАЗ 1 м",,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00167,Постель в сборе 2101-07 Ростов,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00185,Трубка опрыскивателя,,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
КР-00427,Крючок бардачка Приора,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ЗЧМ-00379,Набор блока педалей 2141,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КГ-00468,Болт М8*20 с фланцем пальца суп. ГАЗЕЛЬ,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-01001,"Болт М18*65*1,5 топл. бака, рамы МАЗ",,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-01061,"Болт креп. клап. кр. МАЗ М10х145х1,5",,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
О-00055,Стекло повторителя УАЗ,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
К-00089,Пробка коробки ВАЗ сливная,,,0,MANUAL_REVIEW,no_match|caps_plugs|caps-plugs,caps_plugs,Категория и подкатегория не определены правилами.,,,
ЗЧМ-00202,Удлинитель коробки 2140,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
РГ-00256,Рем.к-т ГУРА ЗИЛ-130 (завод),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00622,Замок заднего сидения Калина 1118 (к-т 2 шт),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00614,Регулятор давления топлива 2110,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХС-00476,К-т передних стоек ЛАДА-Гранта 2190,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00300,Гидрокомпенсаторы ВАЗ 16-клап. дв. (импор,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00440,Кожух руля Приора,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-00217,"Патрубок сапуна Шевроле-Ланос,Дэу",,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
К-00149,Сапун коробки ВАЗ,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХС-00444,Промвал Нива на крестовине,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХС-00190,Пыльник колес Нива,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Б-00004,Буфер перед. н/о 3 2803010-53205,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ЗЧМ-00457,Набор стопоров коробки 2141,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-00855,30812ASAM Регулятор х/х Renault Logan/S,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
К-00375,Скоба троса воздушной заслонки,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КГ-00287,Насадка на шланг подкачки,,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
РДГ-00065,Тройник ручки УАЗ,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
Г-00235,Заменитель коллектора 8кл. инж.,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Г-00236,Заменитель коллектора 16 кл. инж.,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00133,Пыльник ремня 2105,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00172,Втулки масляного привода,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00183,Пыльник ремня 2108-09,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00383,"Кольца н. обр. ""Прагматик"" (Ярославль)",,,0,MANUAL_REVIEW,no_match|rings|rings,rings,Категория и подкатегория не определены правилами.,,,
ДВ-00556,Трубка натяжителя Шеви н. обр.,,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
ДВ-00742,"Маховик Веста, X-RAY дв. 1.8 21176-100511500",,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ЗЧМ-00342,Гайка трамблера 2141,,,0,MANUAL_REVIEW,no_match|nuts|nuts,nuts,Категория и подкатегория не определены правилами.,,,
ЗЧМ-00404,Тяга реактивная 2141,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-00484,Т36398 Натяжитель ремня приводного FORD F,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-00995,СВ-Р 9945 Опора переднего привода,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-01527,MLS-199 Шпилька для грузовика,,,0,MANUAL_REVIEW,no_match|studs|studs,studs,Категория и подкатегория не определены правилами.,,,
К-00154,Направляющая втулки коробки ВАЗ,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
К-00585,Шайба регулировочная перед. шарнира 2108,,,0,MANUAL_REVIEW,no_match|washers|washers,washers,Категория и подкатегория не определены правилами.,,,
КГ-00473,Болт М10*60*1.5 мм кр.-на передней опоры,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00502,Кольцо стопорное d=58 для отв. рул. редук,,,0,MANUAL_REVIEW,no_match|rings|rings,rings,Категория и подкатегория не определены правилами.,,,
КГ-00730,Гайка М27х1.5 шпильки балансира зад. подв,,,0,MANUAL_REVIEW,no_match|nuts|nuts,nuts,Категория и подкатегория не определены правилами.,,,
КГ-01168,Подушка охладителя надува Г-3302 NEXT (дв. Камминс 2.8),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00065,Тяга замка внутрен.,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
О-00191,Стекло пер. Газель,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00479,Тонннель пола Приора 2170 (за 2 шт),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00491,Комплект распред.валов 16 кл. дв. (за 2 ш,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КГ-00185,Болт механизма натяж. ремня верх. (дв. Ка,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КР-00343,Замок вещевого ящика Ваз 2110,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00344,Замок вещевого ящика Ваз 2115,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00114,Болт опоры замка 2108,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КР-00160,Замки в сборе 2102,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ЗЧМ-00495,Рем. комплект зад. балки 2141,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
РГ-00298,Рем.к-т блока педалей Газель,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00125,"Трубка рампы Гранта пластм., 1 шт",,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
ДВ-00679,Пластина установки клап. 2101-07,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
К-00055,Скоба трамблера ВАЗ 01-07,,,0,MANUAL_REVIEW,no_match|ignition_distributor|ignition-distributor,ignition_distributor,Категория и подкатегория не определены правилами.,,,
К-00088,Стопор газовой тяги ВАЗ,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
К-00129,Уголёк трамблера ВАЗ 01-07,,,0,MANUAL_REVIEW,no_match|ignition_distributor|ignition-distributor,ignition_distributor,Категория и подкатегория не определены правилами.,,,
К-00130,Скоба трамблера ВАЗ 01-07,,,0,MANUAL_REVIEW,no_match|ignition_distributor|ignition-distributor,ignition_distributor,Категория и подкатегория не определены правилами.,,,
К-00279,Шпилька ремонтная распред. вала 2101-07,,,0,MANUAL_REVIEW,no_match|studs|studs,studs,Категория и подкатегория не определены правилами.,,,
КР-00143,Крышка бачка омывателя 2108,,,0,MANUAL_REVIEW,no_match|caps_plugs|caps-plugs,caps_plugs,Категория и подкатегория не определены правилами.,,,
КГ-00504,Кольцо стопорное d=30 для отв. вала рул.,,,0,MANUAL_REVIEW,no_match|rings|rings,rings,Категория и подкатегория не определены правилами.,,,
ДВ-00457,Контролер Приора,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КГ-00946,Гайка коромысел Г-3302 NEXT (дв. Камминс,,,0,MANUAL_REVIEW,no_match|nuts|nuts,nuts,Категория и подкатегория не определены правилами.,,,
КР-00428,Крючок бардачка Калина,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КГ-01321,Шпильки колёс ГАЗ-3307,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-00288,29752F [N90765301] кольцо уплотнит. сист,,,0,MANUAL_REVIEW,no_match|rings|rings,rings,Категория и подкатегория не определены правилами.,,,
К-00001,Гайка м 8 сапуна ВАЗ 01-07,,,0,MANUAL_REVIEW,no_match|nuts|nuts,nuts,Категория и подкатегория не определены правилами.,,,
Р-00046,Кран прицепа грузовой,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
А-01363,"Накладки фар верхн. Приора, 2 шт",,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00496,"Коллектор реверс 16 кл. дв., дв. 1.6",,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00624,Поддон Гранта 21902 (алюм.),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00645,К-т трубок кондиционера Калина после 2015,,,0,MANUAL_REVIEW,no_match|conditioner_parts|conditioner-parts,conditioner_parts,Категория и подкатегория не определены правилами.,,,
ЗЧМ-00150,Подушка коробки 2141,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
К-00727,Болт шатунный Калина,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00067,"Шпилька поддона ГАЗ, УАЗ с гайкой",,,0,MANUAL_REVIEW,no_match|studs|studs,studs,Категория и подкатегория не определены правилами.,,,
КГ-00295,Стопор ( 1 шт),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КГ-00296,Гайка М20*1.5 хвостовика Волга н. обр.,,,0,MANUAL_REVIEW,no_match|nuts|nuts,nuts,Категория и подкатегория не определены правилами.,,,
КГ-00394,Гайка М16*1.5 коронч. (прав.резьбы)вала н,,,0,MANUAL_REVIEW,no_match|nuts|nuts,nuts,Категория и подкатегория не определены правилами.,,,
КГ-00801,Палец М10х30 педали акселератора 260058,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КГ-00890,Болт звездочки р/вала Г-3302 (дв. Камминс,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00910,"Кронштейн противотуманок Газель-Бизнес, 1",,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КГ-01264,"Пробка 24*12*1,5 с магнитом",,,0,MANUAL_REVIEW,no_match|caps_plugs|caps-plugs,caps_plugs,Категория и подкатегория не определены правилами.,,,
КР-00525,Лючок б/бака ВАЗ 2114,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00547,Трубка печная большая 2101-07 (завод),,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
КР-00548,Трубка печная малая 2101-07 (завод),,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
КР-00600,Лючок б/бака ВАЗ 2115,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КГ-00122,Ось педали ГАЗ-3302,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
