family,residualCount,activeAnalogCount,topActiveTargets,residualExamples
caps_plugs,31,403,dvigatel-i-transmissiya/detali-dvigatelya:88 | dvigatel-i-transmissiya/ohlazhdenie:37 | kuzov-i-optika/zamki-i-ruchki:33 | aksessuary/instrumenty:23 | dvigatel-i-transmissiya/kpp:23 | kuzov-i-optika/kuzovnye-detali:22 | filtry-i-masla/masla:19 | aksessuary/prochie-aksessuary:14,ЗЧМ-00186 Крышка поддона Москвич | К-00422 Заглушка воздуховода 2110 | К-00457 Заглушка под мовиль (пластмасса) | А-00460 Заглушка бокса 2107 нижняя | А-00689 Заглушка радиобокса 2107 | А-01561 Заглушка-удлинитель ремня | А-02301 Заглушка-переходник ремня (с логотипом) 1 шт | ДВ-00432 Заглушка вместо трамб. 2108
hoses,23,982,dvigatel-i-transmissiya/detali-dvigatelya:351 | tormoznaya-sistema/prochaya-tormoznaya-sistema:153 | dvigatel-i-transmissiya/ohlazhdenie:125 | aksessuary/instrumenty:111 | kuzov-i-optika/kuzovnye-detali:55 | dvigatel-i-transmissiya/sceplenie:39 | podveska/ressory:36 | dvigatel-i-transmissiya/nasosy:30,Г-00595 Патрубок КАМАЗ-ЕВРО прием. ТКР корот. пр. (завод) | ДВ-00603 Трубка пластмассовая Лада-Гранта 2190 | КГ-00287 Насадка на шланг подкачки | Р-00043 Шланги воздушные прицепа | Р-00044 Шланг воздушный прицепа в сборе | Р-00075 Шланги воздушные | А-00339 Шланг-груша силиконовый | Г-00347 Патрубок (инжектор крив.) 5320 КАМАЗ
personal_accessories,15,4,aksessuary/chehly:2 | aksessuary/instrumenty:1 | elektrika/signalizatsii:1,"А-00246 Смайлики силикон, 4 шт | А-00502 Брелок | А-00511 Перчатки | А-01036 Брелок | А-01280 Перчатки зимние п/шерсть черные с ПВХ | А-01287 Бумажник водителя BLACK натур. кожа | А-02108 Брелок ""Россия"" | А-02200 FELIX Перчатки хлопковые с ПВХ-покрытием 10 класс"
bushings,13,129,podveska/prochaya-podveska:32 | dvigatel-i-transmissiya/detali-dvigatelya:18 | podveska/amortizatory:14 | dvigatel-i-transmissiya/detali-transmissii:11 | podveska/ressory:8 | dvigatel-i-transmissiya/kpp:6 | podveska/rychagi:6 | dvigatel-i-transmissiya/sceplenie:5,ОК-00109 Втулка скобы | ОК-00181 Втулка верхней опоры Ока | ХСГ-01047 Втулка-бочонок МАЗ д.55 | ХСГ-01048 Втулка передней подвески МАЗ-6430 н. обр | ДВ-00040 Втулка грибка трамблера | ЗЧМ-00065 Втулка маятника Москвич | ЗЧМ-00572 Втулка маятника Москвич (силикон) | К-00137 Втулка реактивных тяг ВАЗ
ventilation,13,117,dvigatel-i-transmissiya/detali-dvigatelya:61 | elektrika/prochaya-elektrika:26 | aksessuary/instrumenty:6 | dvigatel-i-transmissiya/remni:6 | dvigatel-i-transmissiya/ohlazhdenie:4 | elektrika/datchiki:4 | elektrika/provodka:3 | kuzov-i-optika/kuzovnye-detali:2,"А-00004 Вентилятор ALCO | А-00979 Вентилятор ""Valgo"" | ОК-00319 Кожух электровентилятора ОКА | А-00372 Вентилятор | А-00554 Вентилятор бол. 12В/24В | А-00615 Вентилятор (Россия) | А-01102 Вентилятор автомобил. JT Comfort 9041J 12В 5"" | А-02339 Вентилятор двойной JT Comfort 8062J 12В"
body_clips,11,39,kuzov-i-optika/kuzovnye-detali:23 | aksessuary/instrumenty:4 | aksessuary/prochie-aksessuary:3 | kuzov-i-optika/podkrylki-i-bryzgoviki:3 | kuzov-i-optika/bampery:2 | kuzov-i-optika/moldingi:2 | tormoznaya-sistema/prochaya-tormoznaya-sistema:2,"К-00611 Набор пистонов ВАЗ-Калина 1118 | К-00189 Пистоны | К-00222 Пистоны | К-00355 Пистоны потолка 2110 | К-00610 Набор пистонов ВАЗ-2113, 2114, 2115 | К-00612 Набор пистонов Шеви Нива 2123 | К-00631 Пистоны универсал | К-00682 Пистоны для иномарок (за 1 шт)"
conditioner_parts,9,40,filtry-i-masla/zhidkosti:12 | dvigatel-i-transmissiya/ohlazhdenie:8 | dvigatel-i-transmissiya/remni:7 | elektrika/generatory:3 | podveska/podshipniki:3 | dvigatel-i-transmissiya/detali-dvigatelya:2 | elektrika/prochaya-elektrika:2 | dvigatel-i-transmissiya/kpp:1,ДВ-00637 Трубки кондиционера до 2015 г. (к-т) 2190 | ДВ-00638 Трубки кондиционера Приора 2170 (к-т) | ДВ-00639 Трубки кондиционера Калина ст. обр. (к-т) | ДВ-00640 Трубки кондиционера Нива Урбан (к-т) | ДВ-00641 Трубки кондиционера Нива 2123 ст. обр. (к | ДВ-00642 Трубки кондиционера Шеви Нива 2123 н. обр | ДВ-00645 К-т трубок кондиционера Калина после 2015 | ДВ-00685 Комплект трубок кондиционера Веста
seat_parts,9,19,kuzov-i-optika/kuzovnye-detali:8 | elektrika/prochaya-elektrika:5 | aksessuary/chehly:4 | aksessuary/kovriki:1 | aksessuary/prochie-aksessuary:1,"А-02175 Накладки сидений PSV KROCUS (все сидения) | А-01025 ""HR"" К-т накидок на все сиденья ""ROMB PLUS"" | А-02154 Накидка на сиденье с функцией подогрева AVS HC-175,180 | А-02393 Защита спинки сиденья Автобра 5109 | КР-00266 Ремкомплект гребенок сиденья 2101-07 (1 ш | КР-00314 Защелка заднего сиденья 2108 | КР-00318 Облицовка сиденья 2101-07 | КР-00335 Крепление сиденья 2108 (за 2 шт)"
driver_electronics,7,6,elektrika/prochaya-elektrika:6,"А-01058 Рация ""АЛАН-100"" | А-01099 Рация ""Мега-Джет"" 300,100 | А-01159 Рация ""Алан-48 плюс"" | А-01437 Рация OPTIM 270 | А-01142 Рация MEGA SET 300 | А-01205 Рация ""ALBRECHT"" 4200 | А-01536 Рация MOTOROLLA Т-50"
electrical_consumer,7,24,elektrika/prochaya-elektrika:9 | aksessuary/instrumenty:4 | aksessuary/prochie-aksessuary:4 | elektrika/provodka:4 | dvigatel-i-transmissiya/detali-dvigatelya:2 | podveska/rulevye-nakonechniki:1,"А-00176 Адаптер ""Samsung"" USB (оригинал) | А-01332 ""Банка"" радио+флешка (воспроизв.) | А-01460 Тепловентилятор автомобильный AVS Comfort ТЕ-310 12В (2 реж.) 150W | А-01522 KOTO EFB-211 Тепловентилятор | А-01650 Флешка 8 Гб | А-01687 USB флешка 32 Гб | А-02382 ЗУ Eplutus-211 36W 2 USB"
ignition_distributor,7,63,elektrika/prochaya-elektrika:45 | dvigatel-i-transmissiya/detali-dvigatelya:7 | podveska/podshipniki:4 | dvigatel-i-transmissiya/prokladki:3 | aksessuary/instrumenty:2 | dvigatel-i-transmissiya/kpp:1 | filtry-i-masla/masla:1,ЗЧМ-00072 Уголёк трамблера Москвич | ЗЧМ-00465 Манжет трамблера Москвич (1 шт) | ИН-00222 Трамблер Дэу-Нексиа | ИН-00971 Трамблёр Дэу Матиз | К-00055 Скоба трамблера ВАЗ 01-07 | К-00129 Уголёк трамблера ВАЗ 01-07 | К-00130 Скоба трамблера ВАЗ 01-07
pins,4,8,podveska/pruzhiny:6 | podveska/rulevye-nakonechniki:1 | tormoznaya-sistema/supporty:1,К-00155 Шплинты малые | КГ-00002 Шплинты ГАЗ | КГ-00049 Шплинты большие ГАЗ | КГ-00755 Шплинты (за 1 шт)
washing_sponges,4,1,filtry-i-masla/zhidkosti:1,"А-00194 Швабра № 613 (с резинкой) | А-00617 Губка ""Доктор ВАКС"" DW8611, 8612R | А-01461 Швабра большая (Польша) | А-01566 Швабра большая № 636"
adhesive_tapes,2,3,filtry-i-masla/zhidkosti:3,"А-01855 ЗМ Скотч профессиональный 30 м | А-02130 Скотч 2-х стор. ""3М"" 20мм"
child_seats,1,0,,А-01910 Кресло бескаркасное
