family,status,count,shareOfNew,target,examples
sensors,GROUP_REVIEW,3,0.0008,elektrika/datchiki,"ДВ-00612 ДМРВ Калина 11180-1130010-00 | ДВ-00696 ДМРВ ВАЗ 2108,2110, 2123,2170, 1118 с 2005 г.в. (0 280 218 116) | ДВ-00697 ДМРВ ВАЗ 2108,2110,2123 (до 2004 г.в.) (О 280 218 037) Хофер"
adhesive_tapes,MANUAL_REVIEW,2,0.0005,,"А-01855 ЗМ Скотч профессиональный 30 м | А-02130 Скотч 2-х стор. ""3М"" 20мм"
bolts,AUTO_READY,2,0.0005,aksessuary/shiny-i-diski,"К-00705 Комп.-т болтов колес 12х1.25 п/диски | КГ-01377 В1455010083 SHACMAN Болт М22х1,5х120 колёсный задний"
clamps,AUTO_READY,2,0.0005,dvigatel-i-transmissiya/homuty-ohlazhdeniya,КГ-00507 Хомут патрубка выпускного КАМАЗ ЕВРО | КГ-00808 Хомут патрубка выпускн. (бол) 1203060-532
electrical_consumer,GROUP_REVIEW,2,0.0005,elektrika/prochaya-elektrika,"А-01739 3 в 1: вольтметр, термометр, USB | А-02046 USB с вольтметром (врезной)"
ignition_distributor,GROUP_REVIEW,2,0.0005,dvigatel-i-transmissiya/detali-dvigatelya,ДВ-00322 Привод трамблера 2108 в сборе | ЗЧМ-00039 Привод трамблера Москвич
screws,GROUP_REVIEW,2,0.0005,aksessuary/instrumenty,А-02275 Саморез для ремонта шин | К-00159 Саморез под ключ М 8
caps_plugs,BLOCKED_CONFLICT,1,0.0003,dvigatel-i-transmissiya/detali-dvigatelya,К-00045 Пробка коробки ВАЗ и пробка поддона ВАЗ
child_seats,MANUAL_REVIEW,1,0.0003,,А-01910 Кресло бескаркасное
driver_electronics,AUTO_READY,1,0.0003,elektrika/prochaya-elektrika,А-02378 Автомобильный инвертор EPLUTUS 12-220 150Вт
nuts,AUTO_READY,1,0.0003,dvigatel-i-transmissiya/detali-transmissii,КГ-00142 Гайка стопорная блока шестерен ГАЗ-53
seat_parts,BLOCKED_CONFLICT,1,0.0003,aksessuary/chehly,"А-02154 Накидка на сиденье с функцией подогрева AVS HC-175,180"
socket_head_fasteners,AUTO_READY,1,0.0003,aksessuary/shiny-i-diski,КГ-00941 Гайа колеса 12х1.5 с внутр. шестиграннико
steering_wheels,AUTO_READY,1,0.0003,kuzov-i-optika/emblemy,"А-00707 Руль ""ЛАДА"", ""САМАРА"" (хром. эмблема)"
ventilation,AUTO_READY,1,0.0003,dvigatel-i-transmissiya/ohlazhdenie,"ДВ-00299 Электровентилятор Калина, Приора с конд."
