status,shopCode,name,category,subcategory,confidence,source,family,reasonCode,reason,evidence,negativeEvidence
GROUP_REVIEW,Г-00200,Труба соединительная КАМАЗ,dvigatel-i-transmissiya,vyhlopnaya-sistema,0.94,similarity,Похожие активные товары,neighbor_group_confirmation,Категория предложена по однородным похожим товарам активного каталога.,neighbor:active-neighbor:96% | token:камаз | token:труба,
GROUP_REVIEW,ДВ-00703,"Скоба крепления форсунки Vesta, X-RAY 1,6",dvigatel-i-transmissiya,toplivnaya-sistema,0.87,weak_group_candidate,Топливная система,group_confirmation,"Предложена узкая группа ""Топливная система"" для быстрого подтверждения: term:форсунки.",family:fuel_system | token:форсунки | validation:normalizer:6:useful_tokens,
GROUP_REVIEW,ДВ-00704,"Скоба крепления форсунки Vesta, X-RAY 1,8",dvigatel-i-transmissiya,toplivnaya-sistema,0.87,weak_group_candidate,Топливная система,group_confirmation,"Предложена узкая группа ""Топливная система"" для быстрого подтверждения: term:форсунки.",family:fuel_system | token:форсунки | validation:normalizer:6:useful_tokens,
GROUP_REVIEW,ДВ-00730,Штуцер топливных трубок Гранта прямой,dvigatel-i-transmissiya,toplivnaya-sistema,0.87,weak_group_candidate,Топливная система,group_confirmation,"Предложена узкая группа ""Топливная система"" для быстрого подтверждения: term:топливн.",family:fuel_system | token:топливн | validation:normalizer:6:useful_tokens,
GROUP_REVIEW,ДВ-00736,Кронштейн зад. опоры двиг. X-RAY/Ларгус дв. ВАЗ до 03.2020 г. 845020024,dvigatel-i-transmissiya,detali-dvigatelya,0.892,weak_group_candidate,Опоры и кронштейны двигателя,group_confirmation,"Предложена узкая группа ""Опоры и кронштейны двигателя"" для быстрого подтверждения: term:кронштейн, context:двигател, legacy:ambiguous_token.",family:engine_mount_hardware | token:кронштейн | token:двигател | pattern:ambiguous_token | validation:normalizer:11:useful_tokens,
GROUP_REVIEW,ДВ-00737,Кронштейн зад. опоры двиг. X-RAY/Ларгус дв. ВАЗ с 03.2020 г. 845091514,dvigatel-i-transmissiya,detali-dvigatelya,0.892,weak_group_candidate,Опоры и кронштейны двигателя,group_confirmation,"Предложена узкая группа ""Опоры и кронштейны двигателя"" для быстрого подтверждения: term:кронштейн, context:двигател, legacy:ambiguous_token.",family:engine_mount_hardware | token:кронштейн | token:двигател | pattern:ambiguous_token | validation:normalizer:11:useful_tokens,
AUTO_READY,ДВ-00740,Кронштейн прав. опоры двиг.(дв.ВАЗ 16 кл.) чугунный Лада X-RAY/Ларгус 845077296,dvigatel-i-transmissiya,kpp,0.94,similarity,Похожие активные товары,close_candidates_or_weak_gap,Категория предложена по однородным похожим товарам активного каталога.,neighbor:active-neighbor:100% | token:дв- | token:двигатель | token:кронштейн | token:опоры,
GROUP_REVIEW,ДВ-00741,Кронштейн прав. опоры двиг. (дв.ВАЗ 8 кл.) Лада Ларгус 845051870,dvigatel-i-transmissiya,detali-dvigatelya,0.892,weak_group_candidate,Опоры и кронштейны двигателя,group_confirmation,"Предложена узкая группа ""Опоры и кронштейны двигателя"" для быстрого подтверждения: term:кронштейн, context:двигател, legacy:ambiguous_token.",family:engine_mount_hardware | token:кронштейн | token:двигател | pattern:ambiguous_token | validation:normalizer:9:useful_tokens,
GROUP_REVIEW,ЗЧМ-00041,Гайка колес Москвич 2140,aksessuary,shiny-i-diski,0.912,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:гайка, context:колес, phrase:гайка колес.",family:wheel_fasteners | token:гайка | token:колес | phrase:гайка колес | validation:normalizer:4:useful_tokens,
BLOCKED_CONFLICT,ЗЧМ-00376,Хомуты приемной трубы 2141,dvigatel-i-transmissiya,vyhlopnaya-sistema,0.84,blocked_conflict,Метизы и хомуты выхлопной системы,close_candidates,"Несколько категорий получили близкие оценки, требуется ручная проверка.",family:exhaust_hardware | token:хомут | token:приемн | phrase:приемной трубы | validation:normalizer:4:useful_tokens,
AUTO_READY,ЗЧМ-00644,Штуцер прокачки тормозов Москвич 412,tormoznaya-sistema,tormoznye-shtucery,0.937,family_rule,Штуцеры и болты прокачки,close_candidates_or_weak_gap,"Тормозные штуцеры/болты прокачки как узкая группа тормозной системы. Сигналы согласованы: term:штуцер, context:прокач, phrase:штуцер прокачки, legacy:strong_multi_token.",family:brake_bleeders | token:штуцер | token:прокач | phrase:штуцер прокачки | pattern:strong_multi_token | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,ИН-00930,0284-001 Шпилька колесная NISSAN,aksessuary,shiny-i-diski,0.899,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:шпилька, context:колес, context:колесн.",family:wheel_fasteners | token:шпилька | token:колес | token:колесн | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,ИН-00954,94501745GM Шпилька колесная Daewoo Matiz,aksessuary,shiny-i-diski,0.899,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:шпилька, context:колес, context:колесн.",family:wheel_fasteners | token:шпилька | token:колес | token:колесн | validation:normalizer:6:useful_tokens,
GROUP_REVIEW,ИН-01421,Разъём-переходник KIA HY-01,elektrika,provodka,0.87,weak_group_candidate,Проводка,group_confirmation,"Предложена узкая группа ""Проводка"" для быстрого подтверждения: term:разъем.",family:wiring | token:разъем | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,ИН-01598,MLS-116 Шпилька колёсная,aksessuary,shiny-i-diski,0.899,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:шпилька, context:колес, context:колесн.",family:wheel_fasteners | token:шпилька | token:колес | token:колесн | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,К-00050,Набор шайб крышки клапанов ВАЗ 01-07,dvigatel-i-transmissiya,detali-dvigatelya,0.891,weak_group_candidate,Детали двигателя,group_confirmation,"Предложена узкая группа ""Детали двигателя"" для быстрого подтверждения: term:клапан, term:клапанов, context:клапан, context:клапанов.",family:engine_valves | token:клапан | token:клапанов | token:клапан | token:клапанов | token:кл | validation:normalizer:6:useful_tokens,
GROUP_REVIEW,К-00108,Гайка колёс Нива,aksessuary,shiny-i-diski,0.912,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:гайка, context:колес, phrase:гайка колес.",family:wheel_fasteners | token:гайка | token:колес | phrase:гайка колес | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,К-00156,Гайка поводка стеклоочистителя 2101-07,aksessuary,prochie-aksessuary,0.912,weak_group_candidate,Стеклоочистители,group_confirmation,"Предложена узкая группа ""Стеклоочистители"" для быстрого подтверждения: term:стеклооч, context:стеклоочист.",family:wiper | token:стеклооч | token:стеклоочист | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,К-00165,Гайка поводка стеклоочистителя 2101-07 лат,aksessuary,prochie-aksessuary,0.912,weak_group_candidate,Стеклоочистители,group_confirmation,"Предложена узкая группа ""Стеклоочистители"" для быстрого подтверждения: term:стеклооч, context:стеклоочист.",family:wiper | token:стеклооч | token:стеклоочист | validation:normalizer:6:useful_tokens,
BLOCKED_CONFLICT,К-00324,Скоба троса газа и подсоса 2108,dvigatel-i-transmissiya,toplivnaya-sistema,0.84,blocked_conflict,Тросы газа,close_candidates,"Несколько категорий получили близкие оценки, требуется ручная проверка.",family:throttle_cables | token:трос | token:скоба | token:газа | token:подсос | phrase:скоба троса газа | pattern:strong_multi_token | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,К-00360,Болт под литой диск (хром.),aksessuary,shiny-i-diski,0.872,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:болт, context:диск.",family:wheel_fasteners | token:болт | token:диск | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,К-00368,Болт М10 крепления подвески 2110,podveska,prochaya-podveska,0.852,weak_group_candidate,Метизы и малые детали подвески,group_confirmation,"Предложена узкая группа ""Метизы и малые детали подвески"" для быстрого подтверждения: term:болт, context:подвеск.",family:suspension_hardware | token:болт | token:подвеск | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,К-00388,Скоба ободка фар 2101,kuzov-i-optika,kronshteyny-i-krepleniya,0.852,weak_group_candidate,Кронштейны и крепления кузова,group_confirmation,"Предложена узкая группа ""Кронштейны и крепления кузова"" для быстрого подтверждения: term:скоба, context:фар.",family:body_brackets | token:скоба | token:фар | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,К-00408,Гайка колес Нива (удлиненная),aksessuary,shiny-i-diski,0.912,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:гайка, context:колес, phrase:гайка колес.",family:wheel_fasteners | token:гайка | token:колес | phrase:гайка колес | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,К-00426,Шпилька М12х40 переднего моста Нива,dvigatel-i-transmissiya,detali-transmissii,0.912,weak_group_candidate,Детали мостов,group_confirmation,"Предложена узкая группа ""Детали мостов"" для быстрого подтверждения: term:мост, term:моста, context:перед, phrase:переднего моста.",family:axle_bridge_parts | token:мост | token:моста | token:перед | phrase:переднего моста | validation:normalizer:6:useful_tokens,
GROUP_REVIEW,К-00450,Скоба стекла фар 2110-3110,kuzov-i-optika,kronshteyny-i-krepleniya,0.852,weak_group_candidate,Кронштейны и крепления кузова,group_confirmation,"Предложена узкая группа ""Кронштейны и крепления кузова"" для быстрого подтверждения: term:скоба, context:фар.",family:body_brackets | token:скоба | token:фар | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,К-00515,Болт М8х22 фланцевой подвески 2110,podveska,prochaya-podveska,0.852,weak_group_candidate,Метизы и малые детали подвески,group_confirmation,"Предложена узкая группа ""Метизы и малые детали подвески"" для быстрого подтверждения: term:болт, context:подвеск.",family:suspension_hardware | token:болт | token:подвеск | validation:normalizer:5:useful_tokens,
AUTO_READY,К-00604,Скоба стекла фары 2115,kuzov-i-optika,kronshteyny-i-krepleniya,0.92,strong_multi_token,Кронштейны и крепления кузова,close_candidates_or_weak_gap,"Кузовные кронштейны и крепления с явным контекстом. Сигналы согласованы: legacy:скоба фары, legacy:скоба, legacy:фары.",family:body_brackets | pattern:скоба фары | pattern:скоба | pattern:фары | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,К-00626,"Гайка М12*1.25 колеса ""Шевроле-Нива""",aksessuary,shiny-i-diski,0.938,similarity,Похожие активные товары,neighbor_group_confirmation,Категория предложена по однородным похожим товарам активного каталога.,neighbor:active-neighbor:80% | token:гайка | token:колеса,
GROUP_REVIEW,К-00657,Гайка колес М12Х1.5 высокая (никель),aksessuary,shiny-i-diski,0.912,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:гайка, context:колес, phrase:гайка колес.",family:wheel_fasteners | token:гайка | token:колес | phrase:гайка колес | validation:normalizer:6:useful_tokens,
GROUP_REVIEW,К-00677,"Набор крепления фары ВАЗ 2104, 2105, 2107",kuzov-i-optika,fary,0.9,weak_group_candidate,Фары,group_confirmation,"Предложена узкая группа ""Фары"" для быстрого подтверждения: term:фары.",family:headlight | token:фары | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,К-00695,Болт М12*110 подвески 2121,podveska,prochaya-podveska,0.852,weak_group_candidate,Метизы и малые детали подвески,group_confirmation,"Предложена узкая группа ""Метизы и малые детали подвески"" для быстрого подтверждения: term:болт, context:подвеск.",family:suspension_hardware | token:болт | token:подвеск | validation:normalizer:4:useful_tokens,
AUTO_READY,К-00705,Комп.-т болтов колес 12х1.25 п/диски,aksessuary,shiny-i-diski,0.924,domain_dictionary,"Колёсные болты, гайки и шпильки",close_candidates_or_weak_gap,"Колёсный метиз распознаётся только при явном контексте колеса или диска. Сигналы согласованы: term:болт, context:колес, context:диск, legacy:strong_multi_token.",family:wheel_fasteners | token:болт | token:колес | token:диск | pattern:strong_multi_token | validation:normalizer:6:useful_tokens,
MANUAL_REVIEW,К-00843,"Саморез 4,5*16 с шайбой",,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
GROUP_REVIEW,К-00909,"Болт диодного моста 03,06,08,09,2121 в сборе",elektrika,generatory,0.927,weak_group_candidate,Диодные мосты генератора,group_confirmation,"Предложена узкая группа ""Диодные мосты генератора"" для быстрого подтверждения: term:мост, term:болт, context:диод, phrase:диодного моста.",family:alternator_diode_bridge_hardware | token:мост | token:болт | token:диод | phrase:диодного моста | phrase:болт диодного моста | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,К-00910,"Болт диодного моста 04,05-07 в сборе",elektrika,generatory,0.927,weak_group_candidate,Диодные мосты генератора,group_confirmation,"Предложена узкая группа ""Диодные мосты генератора"" для быстрого подтверждения: term:мост, term:болт, context:диод, phrase:диодного моста.",family:alternator_diode_bridge_hardware | token:мост | token:болт | token:диод | phrase:диодного моста | phrase:болт диодного моста | validation:normalizer:6:useful_tokens,
GROUP_REVIEW,К-00911,Болт диодного моста 2110 в сборе,elektrika,generatory,0.927,weak_group_candidate,Диодные мосты генератора,group_confirmation,"Предложена узкая группа ""Диодные мосты генератора"" для быстрого подтверждения: term:мост, term:болт, context:диод, phrase:диодного моста.",family:alternator_diode_bridge_hardware | token:мост | token:болт | token:диод | phrase:диодного моста | phrase:болт диодного моста | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,К-00912,Болт диодного моста 1118 Калина в сборе,elektrika,generatory,0.927,weak_group_candidate,Диодные мосты генератора,group_confirmation,"Предложена узкая группа ""Диодные мосты генератора"" для быстрого подтверждения: term:мост, term:болт, context:диод, phrase:диодного моста.",family:alternator_diode_bridge_hardware | token:мост | token:болт | token:диод | phrase:диодного моста | phrase:болт диодного моста | validation:normalizer:6:useful_tokens,
GROUP_REVIEW,КГ-00028,Гайка колес Газель-Бычок,aksessuary,shiny-i-diski,0.912,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:гайка, context:колес, phrase:гайка колес.",family:wheel_fasteners | token:гайка | token:колес | phrase:гайка колес | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,КГ-00029,Шпилька колес Газель,aksessuary,shiny-i-diski,0.872,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:шпилька, context:колес.",family:wheel_fasteners | token:шпилька | token:колес | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,КГ-00046,Болт крепления моста УАЗ,dvigatel-i-transmissiya,detali-transmissii,0.862,weak_group_candidate,Метизы и малые детали трансмиссии,group_confirmation,"Предложена узкая группа ""Метизы и малые детали трансмиссии"" для быстрого подтверждения: term:болт, context:мост.",family:transmission_hardware | token:болт | token:мост | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,КГ-00059,Шайба регулировки моста Газель,dvigatel-i-transmissiya,detali-transmissii,0.862,weak_group_candidate,Метизы и малые детали трансмиссии,group_confirmation,"Предложена узкая группа ""Метизы и малые детали трансмиссии"" для быстрого подтверждения: term:шайба, context:мост.",family:transmission_hardware | token:шайба | token:мост | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,КГ-00095,Шпилька с гайкой колес Таврия,aksessuary,shiny-i-diski,0.872,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:шпилька, context:колес.",family:wheel_fasteners | token:шпилька | token:колес | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,КГ-00106,Гайка шпилек колес ГАЗ,aksessuary,shiny-i-diski,0.872,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:гайка, context:колес.",family:wheel_fasteners | token:гайка | token:колес | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,КГ-00110,Болт 12х40х1.25 колеса для проставок,aksessuary,shiny-i-diski,0.9372,similarity,Похожие активные товары,neighbor_group_confirmation,Категория предложена по однородным похожим товарам активного каталога.,neighbor:active-neighbor:79% | token:болт | token:кг- | token:колеса,
GROUP_REVIEW,КГ-00137,Гайка колёс 12х1.5х34 ключ 19,aksessuary,shiny-i-diski,0.94,similarity,Похожие активные товары,neighbor_group_confirmation,Категория предложена по однородным похожим товарам активного каталога.,neighbor:active-neighbor:91% | token:кг- | token:ключ | token:гайка | token:колес,
GROUP_REVIEW,КГ-00140,Болт 12х50х1.25 колеса для проставок,aksessuary,shiny-i-diski,0.9372,similarity,Похожие активные товары,neighbor_group_confirmation,Категория предложена по однородным похожим товарам активного каталога.,neighbor:active-neighbor:79% | token:болт | token:кг- | token:колеса,
GROUP_REVIEW,КГ-00144,Гайка колёс Таврия,aksessuary,shiny-i-diski,0.912,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:гайка, context:колес, phrase:гайка колес.",family:wheel_fasteners | token:гайка | token:колес | phrase:гайка колес | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,КГ-00149,Шпилька колесная Соболь-2217,aksessuary,shiny-i-diski,0.899,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:шпилька, context:колес, context:колесн.",family:wheel_fasteners | token:шпилька | token:колес | token:колесн | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,КГ-00248,Втулка крепления потолка ГАЗ (резина),aksessuary,shiny-i-diski,0.93,weak_group_candidate,Шины,group_confirmation,"Предложена узкая группа ""Шины"" для быстрого подтверждения: term:резина.",family:tire | token:резина | validation:normalizer:6:useful_tokens,
GROUP_REVIEW,КГ-00282,Штуцер-тройник 27 ключ,aksessuary,shiny-i-diski,0.94,similarity,Похожие активные товары,neighbor_group_confirmation,Категория предложена по однородным похожим товарам активного каталога.,neighbor:active-neighbor:100% | token:кг- | token:ключ,
GROUP_REVIEW,КГ-00292,"Болт М10*35*1 картера зад. моста ""Волга""",dvigatel-i-transmissiya,detali-transmissii,0.887,weak_group_candidate,Детали мостов,group_confirmation,"Предложена узкая группа ""Детали мостов"" для быстрого подтверждения: term:мост, term:моста, context:зад.",family:axle_bridge_parts | token:мост | token:моста | token:зад | validation:normalizer:7:useful_tokens,
GROUP_REVIEW,КГ-00327,Болт крепл. тормоз. диска ГАЗ-3302 №583,aksessuary,shiny-i-diski,0.872,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:болт, context:диск.",family:wheel_fasteners | token:болт | token:диск | validation:normalizer:6:useful_tokens,
GROUP_REVIEW,КГ-00334,Болт М20*50*1.5 Задн. подвески,podveska,prochaya-podveska,0.852,weak_group_candidate,Метизы и малые детали подвески,group_confirmation,"Предложена узкая группа ""Метизы и малые детали подвески"" для быстрого подтверждения: term:болт, context:подвеск.",family:suspension_hardware | token:болт | token:подвеск | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,КГ-00338,Болт М18*55*1.5 держ. запасн. колеса Кама,aksessuary,shiny-i-diski,0.94,similarity,Похожие активные товары,neighbor_group_confirmation,Категория предложена по однородным похожим товарам активного каталога.,neighbor:active-neighbor:100% | token:болт | token:кг- | token:колеса,
GROUP_REVIEW,КГ-00356,Болт М16*35*1.5 планет. перед. зад. моста,dvigatel-i-transmissiya,detali-transmissii,0.899,weak_group_candidate,Детали мостов,group_confirmation,"Предложена узкая группа ""Детали мостов"" для быстрого подтверждения: term:мост, term:моста, context:зад, context:перед.",family:axle_bridge_parts | token:мост | token:моста | token:зад | token:перед | validation:normalizer:7:useful_tokens,
GROUP_REVIEW,КГ-00381,Шпилька М16*35*1.5 карт. сц. карт. з/мост,dvigatel-i-transmissiya,detali-transmissii,0.862,weak_group_candidate,Метизы и малые детали трансмиссии,group_confirmation,"Предложена узкая группа ""Метизы и малые детали трансмиссии"" для быстрого подтверждения: term:шпилька, context:мост.",family:transmission_hardware | token:шпилька | token:мост | validation:normalizer:7:useful_tokens,
GROUP_REVIEW,КГ-00413,Шпилька колес задняя Валдай (за 1 шт),aksessuary,shiny-i-diski,0.872,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:шпилька, context:колес.",family:wheel_fasteners | token:шпилька | token:колес | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,КГ-00464,Гайка колес КАМАЗ,aksessuary,shiny-i-diski,0.912,weak_group_candidate,"Колёсные болты, гайки и шпильки",group_confirmation,"Предложена узкая группа ""Колёсные болты, гайки и шпильки"" для быстрого подтверждения: term:гайка, context:колес, phrase:гайка колес.",family:wheel_fasteners | token:гайка | token:колес | phrase:гайка колес | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,КГ-00479,Шайбы топливные д.14,dvigatel-i-transmissiya,toplivnaya-sistema,0.87,weak_group_candidate,Топливная система,group_confirmation,"Предложена узкая группа ""Топливная система"" для быстрого подтверждения: term:топливн.",family:fuel_system | token:топливн | validation:normalizer:4:useful_tokens,
GROUP_REVIEW,КГ-00480,Штуцер-тройник 22 ключ,aksessuary,shiny-i-diski,0.94,similarity,Похожие активные товары,neighbor_group_confirmation,Категория предложена по однородным похожим товарам активного каталога.,neighbor:active-neighbor:100% | token:кг- | token:ключ,
GROUP_REVIEW,КГ-00489,Гайка М33*1.5 флянца вала пром. моста,dvigatel-i-transmissiya,detali-transmissii,0.862,weak_group_candidate,Метизы и малые детали трансмиссии,group_confirmation,"Предложена узкая группа ""Метизы и малые детали трансмиссии"" для быстрого подтверждения: term:гайка, context:мост.",family:transmission_hardware | token:гайка | token:мост | validation:normalizer:7:useful_tokens,
GROUP_REVIEW,КГ-00494,Гайка М22*1.5 колеса КАМАЗ-Евро,aksessuary,shiny-i-diski,0.94,similarity,Похожие активные товары,neighbor_group_confirmation,Категория предложена по однородным похожим товарам активного каталога.,neighbor:active-neighbor:95% | token:кг- | token:колеса | token:гайка,
GROUP_REVIEW,КГ-00497,Гайка топливная упорная М18 под трубку М12,dvigatel-i-transmissiya,toplivnaya-sistema,0.87,weak_group_candidate,Топливная система,group_confirmation,"Предложена узкая группа ""Топливная система"" для быстрого подтверждения: term:топливная, term:топливн.",family:fuel_system | token:топливная | token:топливн | validation:normalizer:7:useful_tokens,
GROUP_REVIEW,КГ-00498,Гайка топливная упорная М24 под трубку М1,dvigatel-i-transmissiya,toplivnaya-sistema,0.87,weak_group_candidate,Топливная система,group_confirmation,"Предложена узкая группа ""Топливная система"" для быстрого подтверждения: term:топливная, term:топливн.",family:fuel_system | token:топливная | token:топливн | validation:normalizer:7:useful_tokens,
GROUP_REVIEW,КГ-00507,Хомут патрубка выпускного КАМАЗ ЕВРО,dvigatel-i-transmissiya,vyhlopnaya-sistema,0.94,similarity,Похожие активные товары,neighbor_group_confirmation,Категория предложена по однородным похожим товарам активного каталога.,neighbor:active-neighbor:83% | token:хомут | token:кг- | token:камаз | token:евро,
GROUP_REVIEW,КГ-00625,Шайба хвостовика моста УАЗ,dvigatel-i-transmissiya,detali-transmissii,0.862,weak_group_candidate,Метизы и малые детали трансмиссии,group_confirmation,"Предложена узкая группа ""Метизы и малые детали трансмиссии"" для быстрого подтверждения: term:шайба, context:мост.",family:transmission_hardware | token:шайба | token:мост | validation:normalizer:5:useful_tokens,
GROUP_REVIEW,КГ-00630,Шпильки колес ЛУАЗ,aksessuary,shiny-i-diski,0.94,similarity,Похожие активные товары,neighbor_group_confirmation,Категория предложена по однородным похожим товарам активного каталога.,neighbor:active-neighbor:88% | token:кг- | token:колес,
