family,status,count,shareOfNew,target,examples
bolts,GROUP_REVIEW,59,0.0127,dvigatel-i-transmissiya/vyhlopnaya-sistema,"ИН-00740 258-943 Болт системы выпуска Nissan, Lo | К-00685 Болт 12х1.25 л/д хром | К-00061 Болт маховика ВАЗ 01-08 | К-00082 Болт коробки ВАЗ верхний 01-07 | К-00096 Болт шестерни коробки ВАЗ"
nuts,GROUP_REVIEW,54,0.0116,dvigatel-i-transmissiya/detali-dvigatelya,"ЗЧМ-00524 Гайка шпилек гол. блока Москвич | ИН-01533 Гайка крепления колеса М14х1,5 | ЗЧМ-00041 Гайка колес Москвич 2140 | К-00015 Гайка М 8 д. приёмной трубы ВАЗ 01-08 | К-00084 Гайка втор. вала коробки ВАЗ 01-07"
caps_plugs,MANUAL_REVIEW,46,0.0099,,ЗЧМ-00186 Крышка поддона Москвич | К-00422 Заглушка воздуховода 2110 | К-00457 Заглушка под мовиль (пластмасса) | А-00460 Заглушка бокса 2107 нижняя | А-00473 Заглушка противотуманок ВАЗ 2110 (2 шт)
seat_parts,GROUP_REVIEW,40,0.0086,kuzov-i-optika/elementy-salona,А-00494 Накладка сиденья глухая 21213 Нива | А-00580 Подогрев сиденья (от прикур.) | А-00581 Подогрев сиденья (регулируемый) | А-00606 Сиденье 2105 | А-00811 Подголовники на сиденья
studs,GROUP_REVIEW,40,0.0086,dvigatel-i-transmissiya/vyhlopnaya-sistema,КГ-00598 Шпилька коллектора ЗИЛ-130 короткая | КГ-00599 Шпилька коллектора ЗИЛ-130 длин. | КГ-00601 Шпилька приемной трубы ЗИЛ-130 | ЗЧМ-00373 Шпилька коллектора Москвич 8 шаг 1.0 | ЗЧМ-00522 Шпилька блока Москвич
studs,MANUAL_REVIEW,40,0.0086,,КГ-00602 Шпилька креп. паука ЗИЛ-130 длин./коротк. | ХСГ-00417 Шпилька с гайкой ЗАЗ (за 1 шт) | ЗЧМ-00615 Шпилька М6Х55 АЗЛК 2140 | ИН-01527 MLS-199 Шпилька для грузовика | ИН-01581 MLS-236 Шпилька NISSAN OEM 43222-50J00
clamps,GROUP_REVIEW,36,0.0077,dvigatel-i-transmissiya/vyhlopnaya-sistema,"ИН-00307 107 219 685 Хомут 54,5мм | ИН-00310 107 222 685 Хомут 59, 5 мм | ЗЧМ-00376 Хомуты приемной трубы 2141 | ЗЧМ-00507 Хомут приёмной трубы (Святогор) | ИН-00306 102 754 685 Хомут 54,5 мм"
clamps,MANUAL_REVIEW,35,0.0075,,"К-00620 Хомут норма 170*190 | К-00621 Хомут норма 180*200, 190*210, 200*220, 210 | К-00187 Хомуты | К-00188 Хомуты | К-00618 Хомут норма 60*80, 70*90, 80*100"
hoses,MANUAL_REVIEW,35,0.0075,,Г-00595 Патрубок КАМАЗ-ЕВРО прием. ТКР корот. пр. (завод) | ДВ-00433 Шланг бензин. 2110 | ДВ-00603 Трубка пластмассовая Лада-Гранта 2190 | КГ-00287 Насадка на шланг подкачки | Р-00043 Шланги воздушные прицепа
screws,MANUAL_REVIEW,34,0.0073,,К-00052 Скоба самореза малая | К-00054 Саморезы Н-2093 | К-00078 Саморезы SK-0985 | К-00102 Саморезы SK-0986 | К-00113 Саморезы SK-5263
caps_plugs,GROUP_REVIEW,33,0.0071,dvigatel-i-transmissiya/detali-dvigatelya,ЗЧМ-00601 Крышка клапанная Таврия | К-00446 Заглушка воздухозаборника 2110 | А-01256 Заглушка ремня (металл) | ДВ-00124 Крышка клапанная 2101 | ДВ-00259 Крышка клапанов 2105
heater_parts,MANUAL_REVIEW,29,0.0062,,ДВ-00008 Корпус печки 2101-2105 | ЗЧМ-00528 Кран печки Москвич 2140 | ИН-00625 Сопротивление печки Рено (завод) | КР-00414 Печка в сборе 2110 | РГ-00321 Рем. к-т печки Газель
bushings,MANUAL_REVIEW,23,0.0049,,ОК-00109 Втулка скобы | ОК-00181 Втулка верхней опоры Ока | ХСГ-01047 Втулка-бочонок МАЗ д.55 | ХСГ-01048 Втулка передней подвески МАЗ-6430 н. обр | ДВ-00040 Втулка грибка трамблера
rings,GROUP_REVIEW,21,0.0045,aksessuary/prochie-aksessuary,"А-01893 Кольца простав. динамиков 16 см | А-01897 Кольца для динамиков 16 обшитые | ЗЧМ-00382 Кольца SM 2141 (85,0) | ИН-01074 Кольцо приемной трубы Рено завод (16 кл) | КГ-01337 Уплотнительное кольцо топливной форсунки 7,7х13х2х2,5 мм 627.410"
steering_wheels,GROUP_REVIEW,20,0.0043,kuzov-i-optika/kuzovnye-detali,"А-00228 Руль Самара | А-00390 Руль кожа-дерево | А-00559 Замок на руль | А-00948 Руль 2110 н/обр. | А-01061 Замок на руль ""Райтон"""
fragrances,GROUP_REVIEW,19,0.0041,aksessuary/prochie-aksessuary,"А-00030 АРОМАТИЗАТОР ""Senso"" (регулируемый) | А-00032 Ароматизатор воздуха гелевый | А-00158 Ароматизатор ""Ёлочка"" | А-00254 Дезодорант-корона | А-00266 Дезодорант ""Кубики"""
washers,GROUP_REVIEW,18,0.0039,dvigatel-i-transmissiya/detali-dvigatelya,ДВ-00169 Шайба регулировки клапанов 2108 (д. до 0. | К-00047 Шайба стопорная втор. вала коробки ВАЗ | К-00201 Шайба регулировки клапанов 2108 | К-00376 Шайба к/клапанной 2101-07 (1 шт) | К-00423 Шайба волнистая ролика натяжителя М10Х21
adhesive_tapes,GROUP_REVIEW,16,0.0034,aksessuary/prochie-aksessuary,"А-00250 Скотч армированный | А-00461 Скотч 50 мм | А-00973 Скотч ""3М"" (9 мм, 33 м) | А-02245 Скотч 150 мм | А-00162 TOR CAR Скотч 25мм/40м"
driver_electronics,GROUP_REVIEW,15,0.0032,aksessuary/prochie-aksessuary,"А-00835 Антирадар ""SHO-ME"" | А-01009 Антирадар ""САВЕР 255"" | А-01028 Алкотестер | А-01032 Алкотестер 3000 | А-01196 Антирадар ""SHO-ME"" 530"
ventilation,MANUAL_REVIEW,14,0.003,,"А-00004 Вентилятор ALCO | А-00979 Вентилятор ""Valgo"" | ОК-00319 Кожух электровентилятора ОКА | А-00372 Вентилятор | А-00554 Вентилятор бол. 12В/24В"
body_clips,MANUAL_REVIEW,11,0.0024,,"К-00611 Набор пистонов ВАЗ-Калина 1118 | К-00189 Пистоны | К-00222 Пистоны | К-00355 Пистоны потолка 2110 | К-00610 Набор пистонов ВАЗ-2113, 2114, 2115"
caps_plugs,AUTO_READY,11,0.0024,kuzov-i-optika/elementy-salona,А-01610 Крышка бардачка Калина | К-00458 Заглушка под мовиль (резина) | Р-00069 Крышка трамблера Зил-130 | А-00475 Крышка бардачка 2105 | А-00476 Крышка бардачка 2108 в/п
other,BLOCKED_CONFLICT,11,0.0024,dvigatel-i-transmissiya/remni,А-00817 Ремни безопасности 2101-07 (2 шт) | А-01211 Накладка на воздухозаборник 2110 (краш.) | А-01627 Ремни безопасности перед. 1118 | ДВ-00186 Диффузор салона 2105 | А-00035 Ремни безопасности (неинерционные)
steering_wheel_covers,GROUP_REVIEW,11,0.0024,aksessuary/prochie-aksessuary,"А-01612 Оплетка (натуральный мех) | А-01823 Оплётка 48 см | А-02099 Оплётка Гранта | А-02100 Оплётка Солярис, Рио | А-01481 Оплётка ""HR"" Израиль"
washing_sponges,GROUP_REVIEW,10,0.0021,aksessuary/prochie-aksessuary,А-02411 Губка поролоновая крупнопористая AVS SP-11 кирпич 180х100х50мм | А-00178 Губка для мытья машины | А-00179 Губка для пластика | А-01026 Швабра для мытья (большая) 646 | А-01860 РМ0972 Губка поролоновая крупнопористая 235х115х85мм
conditioner_parts,MANUAL_REVIEW,9,0.0019,,ДВ-00637 Трубки кондиционера до 2015 г. (к-т) 2190 | ДВ-00638 Трубки кондиционера Приора 2170 (к-т) | ДВ-00639 Трубки кондиционера Калина ст. обр. (к-т) | ДВ-00640 Трубки кондиционера Нива Урбан (к-т) | ДВ-00641 Трубки кондиционера Нива 2123 ст. обр. (к
fittings,AUTO_READY,9,0.0019,tormoznaya-sistema/tormoznye-shtucery,"ЗЧМ-00644 Штуцер прокачки тормозов Москвич 412 | ИН-00171 Штуцер прокачки М6*1*29 (AUDI,BMW,SAABVW) | ИН-00172 Штуцер прокачки М6*1*38 (AUDI,SUBARU,VW) | ИН-00173 Штуцер прокачки М8*1*32 (FORD,MAZDA) | ИН-00174 Штуцер прокачки М8*1*33 (MAZDA,OPEL)"
hoses,AUTO_READY,9,0.0019,dvigatel-i-transmissiya/toplivnaya-sistema,ДВ-00078 Трубка топливная ВАЗ дв. 1.6 за 1 шт | ДВ-00113 Трубка топливная 2101-09 Нива | ДВ-00288 Шланг топливный короткий 2108 | ДВ-00326 Шланг топливный длинный 2110 | ДВ-00772 Шланг топливный FL-2190 Гранта
ignition_distributor,MANUAL_REVIEW,9,0.0019,,ЗЧМ-00072 Уголёк трамблера Москвич | ЗЧМ-00465 Манжет трамблера Москвич (1 шт) | ИН-00222 Трамблер Дэу-Нексиа | ИН-00971 Трамблёр Дэу Матиз | К-00055 Скоба трамблера ВАЗ 01-07
bushings,GROUP_REVIEW,8,0.0017,dvigatel-i-transmissiya/kpp,ЗЧМ-00084 Втулка удлинителя коробки Москвич 2 шт | ЗЧМ-00467 Втулка подголовника 2141 | ЗЧМ-00497 Втулка траверса коробки Москвич 2140 | КГ-00105 Втулка оси педали газа ГАЗ | КГ-00248 Втулка крепления потолка ГАЗ (резина)
seat_parts,MANUAL_REVIEW,8,0.0017,,"А-02175 Накладки сидений PSV KROCUS (все сидения) | А-01025 ""HR"" К-т накидок на все сиденья ""ROMB PLUS"" | А-02393 Защита спинки сиденья Автобра 5109 | КР-00266 Ремкомплект гребенок сиденья 2101-07 (1 ш | КР-00314 Защелка заднего сиденья 2108"
driver_electronics,MANUAL_REVIEW,7,0.0015,,"А-01058 Рация ""АЛАН-100"" | А-01099 Рация ""Мега-Джет"" 300,100 | А-01159 Рация ""Алан-48 плюс"" | А-01437 Рация OPTIM 270 | А-01142 Рация MEGA SET 300"
document_accessories,GROUP_REVIEW,6,0.0013,aksessuary/organayzery,"А-00519 Футляр для очков | А-00909 Автодокументы, паспорт, кошелек (кожа) | А-00415 Автодокументы | А-00563 Автодокументы | А-01044 Автодокументы с паспортом"
body_clips,GROUP_REVIEW,5,0.0011,dvigatel-i-transmissiya/toplivnaya-sistema,ЗЧМ-00026 Пистон троса газа 2141 | ИН-00693 Пистон крепления эмблемы Рено № 924 | К-00115 Пистон газовых тяг ВАЗ | К-00755 Пистон обшивки Ларгус | КГ-00132 Пистоны ветровой обшивки Газель
caps_plugs,BLOCKED_CONFLICT,5,0.0011,dvigatel-i-transmissiya/detali-dvigatelya,О-00698 Заглушка блок-фар Гранта 2190 | К-00045 Пробка коробки ВАЗ и пробка поддона ВАЗ | О-00499 Заглушка блок-фары Калина | О-00500 Заглушка блок-фары 2110 | О-00699 Заглушка блок-фар Приора 2170 (мал.)
child_seats,GROUP_REVIEW,5,0.0011,aksessuary/bezopasnost,"А-00921 Детское кресло 15-36 кг | А-01412 Кресло детское с поддержкой го№515 9-36 кг | А-00944 Детское автокресло (люлька) | А-01186 Детское автомобильное кресло ""SIGER"" | А-01192 Автокресло детское 0-13 кг"
ventilation,GROUP_REVIEW,5,0.0011,dvigatel-i-transmissiya/ohlazhdenie,"ДВ-00104 Диффузор вентилятора Нива | ДВ-00296 Электровентилятор ВАЗ 2170 ""Panasonic"" | ДВ-00341 Электровентилятор Нива 21214 | ДВ-00728 Крыльчатка вентилятора Нива 6 лопостей | КР-00619 Диффузор под электровентилятор ВАЗ 2107 инжектор"
bolts,BLOCKED_CONFLICT,4,0.0009,dvigatel-i-transmissiya/detali-transmissii,"К-00909 Болт диодного моста 03,06,08,09,2121 в сборе | К-00910 Болт диодного моста 04,05-07 в сборе | К-00911 Болт диодного моста 2110 в сборе | К-00912 Болт диодного моста 1118 Калина в сборе"
pins,MANUAL_REVIEW,4,0.0009,,К-00155 Шплинты малые | КГ-00002 Шплинты ГАЗ | КГ-00049 Шплинты большие ГАЗ | КГ-00755 Шплинты (за 1 шт)
roof_rails,GROUP_REVIEW,4,0.0009,aksessuary/prochie-aksessuary,"А-01187 Рейлинги на а/м ""Калина-универсал"" | А-01407 Рейлинги Рено-Логан | А-01408 Рейлинги Рено-Сандеро | А-01436 Рейлинги Лада-Ларгус оригинал"
washing_sponges,MANUAL_REVIEW,4,0.0009,,"А-00194 Швабра № 613 (с резинкой) | А-00617 Губка ""Доктор ВАКС"" DW8611, 8612R | А-01461 Швабра большая (Польша) | А-01566 Швабра большая № 636"
heater_parts,AUTO_READY,3,0.0006,elektrika/prochaya-elektrika,ЗЧМ-00173 Мотор печки 2141 | ДВ-00102 Заслонка печки 2110 | ДВ-00112 Отвод печки 2108
pins,GROUP_REVIEW,3,0.0006,podveska/pruzhiny,КГ-00851 Шплинт 8х80 | КГ-00852 Шплинт 8х50 | КГ-01288 Шплинт 6.3*90
sensors,GROUP_REVIEW,3,0.0006,elektrika/datchiki,"ДВ-00612 ДМРВ Калина 11180-1130010-00 | ДВ-00696 ДМРВ ВАЗ 2108,2110, 2123,2170, 1118 с 2005 г.в. (0 280 218 116) | ДВ-00697 ДМРВ ВАЗ 2108,2110,2123 (до 2004 г.в.) (О 280 218 037) Хофер"
adhesive_tapes,MANUAL_REVIEW,2,0.0004,,"А-01855 ЗМ Скотч профессиональный 30 м | А-02130 Скотч 2-х стор. ""3М"" 20мм"
bolts,AUTO_READY,2,0.0004,aksessuary/shiny-i-diski,"К-00705 Комп.-т болтов колес 12х1.25 п/диски | КГ-01377 В1455010083 SHACMAN Болт М22х1,5х120 колёсный задний"
clamps,AUTO_READY,2,0.0004,dvigatel-i-transmissiya/homuty-ohlazhdeniya,КГ-00507 Хомут патрубка выпускного КАМАЗ ЕВРО | КГ-00808 Хомут патрубка выпускн. (бол) 1203060-532
heater_parts,GROUP_REVIEW,2,0.0004,elektrika/prochaya-elektrika,ЗЧМ-00316 Переключатель печки 2141 | ЗЧМ-00646 Переключатель печки Москвич 412
ignition_distributor,GROUP_REVIEW,2,0.0004,dvigatel-i-transmissiya/detali-dvigatelya,ДВ-00322 Привод трамблера 2108 в сборе | ЗЧМ-00039 Привод трамблера Москвич
screws,GROUP_REVIEW,2,0.0004,aksessuary/instrumenty,А-02275 Саморез для ремонта шин | К-00159 Саморез под ключ М 8
child_seats,MANUAL_REVIEW,1,0.0002,,А-01910 Кресло бескаркасное
driver_electronics,AUTO_READY,1,0.0002,elektrika/prochaya-elektrika,А-02378 Автомобильный инвертор EPLUTUS 12-220 150Вт
nuts,AUTO_READY,1,0.0002,dvigatel-i-transmissiya/detali-transmissii,КГ-00142 Гайка стопорная блока шестерен ГАЗ-53
seat_parts,BLOCKED_CONFLICT,1,0.0002,aksessuary/chehly,"А-02154 Накидка на сиденье с функцией подогрева AVS HC-175,180"
steering_wheels,AUTO_READY,1,0.0002,kuzov-i-optika/emblemy,"А-00707 Руль ""ЛАДА"", ""САМАРА"" (хром. эмблема)"
ventilation,AUTO_READY,1,0.0002,dvigatel-i-transmissiya/ohlazhdenie,"ДВ-00299 Электровентилятор Калина, Приора с конд."
