groupId,label,status,count,category,subcategory,confidence,homogeneity,reviewSampleSize,examples
legacy_kuzov-i-optika_fonari|фонар|kuzov-i-optika|fonari,fonari,GROUP_REVIEW,251,kuzov-i-optika,fonari,0.82,1,20,"А-00437 Фонарь-переноска | А-00728 Компрессор с фонарем | А-00777 Фонари задние 2108-099 (тюнинг-2 шт) | А-00951 Фонарь дорожный | А-00993 Фонарик | А-01049 Компрессор ""Качок-50"" с фонарём | А-01138 Фонари задние 2106 тюнинг (2 шт) | А-01182 Фонари задние 2106 диодные"
legacy_dvigatel-i-transmissiya_detali-transmissii|шрус|dvigatel-i-transmissiya|detali-transmissii,detali-transmissii,GROUP_REVIEW,208,dvigatel-i-transmissiya,detali-transmissii,0.82,1,20,ГСМ-01406 721-LUXE Шрус Супер 4МЛ (400 г/картридж) | ЗЧМ-00005 ШРУС наруж. с монтаж. к-том МОСКВИЧ 2141 | ЗЧМ-00139 Ось шруса 2141 | ЗЧМ-00162 Шрус ГЛО 2141 в сборе | ЗЧМ-00266 Шрус в сборе 2141 | ЗЧМ-00456 Набор стопоров шруса 2141 | ЗЧМ-00541 Хомут шруса 2141 (за 1 шт) | ЗЧМ-00547 Флянец внутреннего шруса 2141
legacy_podveska_ressory|рессор|podveska|ressory,ressory,GROUP_REVIEW,205,podveska,ressory,0.88,1,20,ЗЧМ-00133 Отбойник рессор 2140 | КГ-00243 Палец рессор Волга 31105 (1 шт) | КГ-00268 Болт серьги рессоры ГАЗ-31105 в сборе с с | КГ-00574 Болт стяжной передней рессоры Бычок | КГ-01094 Шайба пальца рессоры УАЗ D=25 специальная | КЗ-00156 Кронштейн передней рессоры Газель | РЕ-00003 Рессора ГАЗ-3302 перед. 2-х листовая | РЕ-00015 Рессора Г-3302 NEXT Автобус 4-лист. зад.
legacy_dvigatel-i-transmissiya_detali-dvigatelya|двигател|dvigatel-i-transmissiya|detali-dvigatelya,detali-dvigatelya,GROUP_REVIEW,202,dvigatel-i-transmissiya,detali-dvigatelya,0.82,1,20,"А-01416 Автоодеяло для двигателя | А-01625 ""АВТОТЕПЛО"" утеплитель двигателя | ГСМ-00869 Очист сист впрыска диз двигателей ЛМ-191 | ГСМ-00950 LAVR 2502 Антикокс для двигателя 0.185 л | ГСМ-01006 Быстрый запуск для бенз. карб. и инжект. 2Т и 4Т двигателя | ГСМ-01573 Быстрый запуск двигателя, аэрозоль 284 м | ДВ-00077 Сапун двигателя | ДВ-00165 Кронштейн двигателя 2110 нижний"
body_brackets|кронштейн|kuzov-i-optika|kronshteyny-i-krepleniya,Кронштейны и крепления кузова,GROUP_REVIEW,186,kuzov-i-optika,kronshteyny-i-krepleniya,0.848,1,20,"А-00056 Кронштейн антенны | А-00888 Подлокотник 2110, 2115 (метал. кронштейн) | А-01789 Кронштейн антенны - желоб | ДВГ-01031 Кронштейн топливного фильтра Газ-3308 ди | К-00669 Набор крепления кронштейна растяжки 2108-0 | КГ-01235 Кронштейн номерного знака Газель | КЗ-00443 Кронштейн крепления рулевой колонки УАЗ-4 | КЗ-00475 Кронштейн крепления зад. фонаря УАЗ-3303"
pump_engine|насос|dvigatel-i-transmissiya|nasosy,Насосы двигателя,GROUP_REVIEW,185,dvigatel-i-transmissiya,nasosy,0.885,1,20,"А-00128 Насос | А-01263 ""ALCO"" насос одноцилиндр. | А-02054 Наконечник для насоса быстрозажимной профе | А-02055 Наконечник для насоса (евро) хром длинный | А-02389 Насос EL-02 | ДВ-00178 Масляный насос 2108 | ДВГ-00311 Насос ГУР в сб. МАЗ-236,238 | ДВГ-01963 Трубка подкач. насоса для Comon Reill 40"
body_exterior|капот|kuzov-i-optika|kuzovnye-detali,Кузовные детали,GROUP_REVIEW,181,kuzov-i-optika,kuzovnye-detali,0.879,1,20,А-00457 Утеплитель капота 2108 | А-00947 Отбойник капота 31105 н/обр | А-01063 Отбойник капота (иномарки) | А-01813 Накладка капота Приора (под покраску) | Ж-00023 Капот УАЗ-469 | Ж-00169 Крышка капота УАЗ 452 | ЖЛ-00043 Планка капота 2108 | ЖЛ-00049 Капот 2107
suspension_arm|рычаг|podveska|rychagi,Рычаги,GROUP_REVIEW,174,podveska,rychagi,0.891,1,20,"ЗКГ-00267 Рем. комплект рычага КПП Газ (шайба+пруж | ЗЧМ-00215 Рычаг в сборе 2140 верхний | ЗЧМ-00375 Ось верхнего рычага Москвич | ИН-00218 Рычаг нижний Дэу-Матиз | ИН-00571 J49008000 Рычаг DAEWOO MATIZ/SPARK/TICO п | ИН-00847 Рычаг перед.прCQN2R,лев.CQN2L | ИН-00940 Рычаг 30936047 | К-00467 Ремкомплект верхних рычагов 2101-07"
legacy_dvigatel-i-transmissiya_detali-transmissii|кардан|dvigatel-i-transmissiya|detali-transmissii,detali-transmissii,GROUP_REVIEW,173,dvigatel-i-transmissiya,detali-transmissii,0.82,1,20,ЗЧМ-00459 Крестовина рулевого кардана 2141 | ЗЧМ-00581 Вилка кардана Москвич 412 | КГ-01272 Стопор кардана с болтом Г-3302 (р/к-т вилки) в сб. | ХС-00107 Кардан передний Нива | ХС-00354 Кардан Шеви-Нива усилен. | ХС-00356 Вал карданный промежуточный ВАЗ 21213 (в сборе) без эласт. муфты | ХСГ-00039 Кардан рул. упр. УАЗ-Хантер усиленный | ХСГ-00130 Карданчик рулевой 3110
exhaust|глушитель|dvigatel-i-transmissiya|vyhlopnaya-sistema,Выхлопная система,GROUP_REVIEW,172,dvigatel-i-transmissiya,vyhlopnaya-sistema,0.915,1,20,"А-01576 Глушитель универсальный ""тюнинг"" | А-02455 Глушитель прямоточный А 014 | Г-00007 Глушитель 2121 Ижора | Г-00040 Глушитель УАЗ-469, 3151 ЛЮКС (нержавейка) | Г-00114 Глушитель 2102 нерж. | Г-00136 Глушитель ВАЗ 2110 Некс | Г-00137 Глушитель ЗАЗ (2 шт) | Г-00161 Глушитель ВАЗ 2115 Универсал нерж."
engine_valves|клапан|dvigatel-i-transmissiya|detali-dvigatelya,Детали двигателя,GROUP_REVIEW,169,dvigatel-i-transmissiya,detali-dvigatelya,0.854,1,20,ДВ-00232 Клапана ВАЗ 2110 | ДВ-00331 Верхняя крышка двигателя 2110 8-16 клапан | ДВ-00503 Клапан обратки 2105 | ДВГ-00412 Крышка клапанная ГАЗ (дв. 406) | ДВГ-02183 Клапан электромагнитного привода КПП | ДВГ-02219 Крышка клапан. УАЗ-3741 (дв.4091) ЕВРО-4 без крепл. катушки спереди | ЗЧМ-00106 Клапана Москвич | ЗЧМ-00601 Крышка клапанная Таврия
gasket|проклад|dvigatel-i-transmissiya|prokladki,Прокладки,GROUP_REVIEW,155,dvigatel-i-transmissiya,prokladki,0.82,1,20,"ГСМ-01373 Термостойкий серый силиконовый формирователь прокладок DD6733 | ДВ-00695 20360 Прокладки рессивера и дроссельной заслонки ВАЗ-2115,2170,2190 | ИН-00170 Набор прокладок двигателя ЛАНОС | ИН-01061 К-т прокладок выпуск.+впуск. коллектора М | ПСГ-00013 Кожекартон для прокладок | ПСГ-00047 Набор прокладок двигателя Москвич, полны | ПСГ-00142 Прокладки штанов в сборе ГАЗ, УАЗ | ПСГ-00238 Набор прокладок двигателя Москвич"
exhaust|резонатор|dvigatel-i-transmissiya|vyhlopnaya-sistema,Выхлопная система,GROUP_REVIEW,142,dvigatel-i-transmissiya,vyhlopnaya-sistema,0.915,1,20,Г-00013 Резонатор 2121 | Г-00070 Резонатор Шеви-Нива | Г-00071 Резонатор Соболь дв. Крайслер ЕВРО-2 | Г-00121 Резонатор 2110 нерж. | Г-00151 Резонатор под инжект. систему 21310 | Г-00159 Резонатор Дэу-Нексиа (длин.) | Г-00204 Резонатор УАЗ (Баксан) нержавейка | Г-00351 Резонатор ГАЗ-3302 (дв.405) с нейтр.
legacy_tormoznaya-sistema_supporty|суппорт|tormoznaya-sistema|supporty,supporty,GROUP_REVIEW,136,tormoznaya-sistema,supporty,0.88,1,20,ЗЧМ-00207 Суппорт 2140 | ЗЧМ-00669 Рем. набор пер. торм. суппорта АЗЛК-2141 | ИН-01270 584001R300 Суппорт зад. прав. HYUNDAI | ИН-01586 Рем. к-т направляющих суппорта KIA RIO Masterkit 77А1125 | ИН-01668 77А1174 Рем. к-т суппорта заднего 38 мм | ОК-00158 Поршень суппорта | ТС-00096 Скоба суппорта Нива | ТС-00120 Суппорт 2110 в сборе на 14д
optics_glass|стекло|kuzov-i-optika|stekla-far-i-fonarey,Стекла фар и фонарей,GROUP_REVIEW,135,kuzov-i-optika,stekla-far-i-fonarey,0.888,1,20,А-00922 Часы на стекло | А-01024 Стекло зад. фонаря 2106 | А-01165 Спойлер на заднее стекло не крашеный (все | ЗЧМ-00138 Мотор стеклоочистителя 2141 | ЗЧМ-00611 Мотор стеклоочистителя 2140-412 | ИН-00214 Трапеция стеклоочистителя Дэу-Нексиа | ИН-00421 Стекло | ИН-01572 HDCRV00080Z Стекло противотуманной фары L=R HONDA CRV
auto_chemistry|смазка|aksessuary|avtohimiya,Автохимия,GROUP_REVIEW,131,aksessuary,avtohimiya,0.9,1,20,"ГСМ-00028 Смазка для замков ЛМ, 0.05 л | ГСМ-00137 Смазка ""МС 1510"" литиевая высокотемперат. 80 г | ГСМ-00147 Агринол Смазка № 158 (синяя), 1,8 кг | ГСМ-00205 АЗМОЛ смазка 800 г | ГСМ-00225 ВМП АВТО Смазка ""ШРУС-триподная, 90 г | ГСМ-00284 LM Грязеотталкивающая белая смазка, 50 м | ГСМ-00468 Смазка многофункциональная проникающая AV-40 210 мл (аэрозоль) AVS | ГСМ-00536 Смазка универсальная для суппортов Brake Control PROline LAVR 50 г"
legacy_aksessuary_prochie-aksessuary|багажник|aksessuary|prochie-aksessuary,prochie-aksessuary,GROUP_REVIEW,130,aksessuary,prochie-aksessuary,0.82,1,20,"А-00216 Багажник трехопорный | А-00516 Багажник ""Дельта"" Рено Логан | А-00713 Багажник УАЗ | А-00978 Багажник для велосипеда | А-00983 Багажник универс. УАЗ-469 | А-01105 Лестница к багажнику | А-01124 Облицовка панели багажника Нива | А-01145 Сетка для багажника"
legacy_podveska_stupicy|ступицы|podveska|stupicy,stupicy,GROUP_REVIEW,128,podveska,stupicy,0.82,1,20,ЗЧМ-00531 Набор ступицы 2141 | ИН-00276 Гайка ступицы колеса Шевроле 94515177 | КГ-01124 Винт крепления подшип. пер. ступицы Г-330 | ОК-00282 Кольцо грязезащитное ступицы ОКА | ОК-00285 Кольцо грязезащитное задней ступицы ОКА | ПГ-00177 Рем.к-т передней ступицы КАМАЗ (к-т) | ПГ-00188 Рем. к-т задней ступицы КАМАЗ (к-т) | ПС-00054 Стопор передней ступицы ВАЗ 2101-07
body_exterior|порог|kuzov-i-optika|kuzovnye-detali,Кузовные детали,GROUP_REVIEW,122,kuzov-i-optika,kuzovnye-detali,0.875,1,20,"А-00402 Пороги декоративные 2141 (2 шт) | А-00614 Пороги наружные 2110 штатные | А-00621 Пороги 2109-099 | А-00622 Пороги 2110 | А-00628 Накладки порогов ""Волга"" (4 шт) | А-00779 Пороги ОКА декоративные (2 шт) | А-00824 Пороги 2141 декоративные (2 шт) | А-00954 Накладки на пороги (универс.)"
legacy_podveska_stoyki|стойк|podveska|stoyki,stoyki,GROUP_REVIEW,122,podveska,stoyki,0.82,1,20,"А-01351 Накладки центр. стойки 2109, 2 шт (нижняя часть) | ЖЛ-00150 Стойка ср. 2106 | ЗЧМ-00211 Катридж передней стойки 2141 | ЗЧМ-00568 Картридж передней стойки ИЖ-ОДА (за 1 шт | ЗЧМ-00625 Ремкомплект передней стойки 2141 | ЗЧМ-00660 Рем.комплект перед. стойки 2141 | ИН-00488 Стойки стабилизатора 2677401 | ИН-00539 Стойки стабилизатора 2787201"
automotive_bulb|ламп|elektrika|lampy,Лампы,GROUP_REVIEW,120,elektrika,lampy,0.82,1,20,"ЭО-00204 Лампочки OSRAM ALS жёлтые, 1 шт | ЭО-00344 Лампы-линзы Н4 ""Автосвет"" | ЭО-00420 Лампочки габаритные (голубые) | ЭО-00558 Лампочки ""Narva"" белый свет Н1, Н3, Н4 | ЭО-00667 Лампочки ""OSRAM"" Н7+ 100%, 2 шт | ЭО-00712 Лампочки з/хода (звуковые) | ЭО-00737 Лампочки светодиодные салонные | ЭО-00799 Лампочки ""Филипс"" Н7 Xenon-Ultra"
legacy_podveska_prochaya-podveska|стабилизатор|podveska|prochaya-podveska,prochaya-podveska,GROUP_REVIEW,114,podveska,prochaya-podveska,0.82,1,20,ЗЧМ-00221 Стабилизатор ИЖ-2126 | ЗЧМ-00314 Стабилизатор 2140 | ЗЧМ-00315 Стабилизатор 2141 | ИН-00462 0523-004 Тяга стабилизатора FORD FOCUS | ИН-00555 Тяга стабилизатора 30929461 | ИН-00941 5484138000 Втулка тяги стабилизатора | ИН-01096 CLKH-45R Тяга стабилизатора заднего Hyund | ИН-01190 CLM-18 Тяга стабилизатора MITSUBISHI LANC
legacy_kuzov-i-optika_podkrylki-i-bryzgoviki|брызговик|kuzov-i-optika|podkrylki-i-bryzgoviki,podkrylki-i-bryzgoviki,GROUP_REVIEW,112,kuzov-i-optika,podkrylki-i-bryzgoviki,0.82,1,20,"А-01366 Брызговики LADA-GRANTA пер.,зад.(2 шт) | А-01695 Брызговик-длинномер 240х35 | А-01696 Брызговик из 3-х частей светоотражающий 61 | А-01718 Брызговики задние ЛАДА Веста | А-01858 Брызговики перед. Ларгус-Кросс | Ж-00026 Брызговик крыла ГАЗ-3302 прав. (метал) | Ж-00073 Брызговик УАЗ-Патриот перед. лев. мет. | Ж-00082 Брызговик УАЗ-Патриот перед. прав. мет."
tools|ключ|aksessuary|instrumenty,Инструменты,GROUP_REVIEW,110,aksessuary,instrumenty,0.88,1,20,"И-01236 Комбинированные ключи с трещоткой ""Дело Те | И-01245 Ключ масляного фильтра чашка 8716 JTC-1522 | И-01624 Ключ гайки хвостовика КПП КАМАЗ 53205-2402 | И-01952 Набор ключей гаечных комбинированных на держателе 6-22 мм (12 пр.) ЕВРО AVS | КГ-00704 Болт колеса М14*1.25*33/56 (ключ 17,конус | КГ-00714 Ключ (переходник) 17 хром | И-00070 Ключ тормозных трубок 8*10, 10*12 | И-00182 Ключ масляного фильтра цепь Ф-165 мм"
fuel_system|карбюратор|dvigatel-i-transmissiya|toplivnaya-sistema,Топливная система,GROUP_REVIEW,109,dvigatel-i-transmissiya,toplivnaya-sistema,0.895,1,20,ДВ-00136 Тяга нижней части карбюратора 2108 | ДВ-00594 Карбюратор ВАЗ 2105 (Китай) | ДВГ-00299 Карбюратор ЗИЛ | ДВГ-00360 Карбюратор 2140-70 ДААЗ | ДВГ-00394 Карбюратор ГАЗ-52 | ДВГ-00637 Карбюратор УАЗ 1-диффузорный № К-129 | ДВГ-00683 Карбюратор ЗАЗ | ДВГ-01421 Карбюратор К-151
body_glass|уплотнитель|kuzov-i-optika|stekla,Стекла,GROUP_REVIEW,108,kuzov-i-optika,stekla,0.86,1,20,ЗЧМ-00363 Уплотнитель дверной Москвич | ЗЧМ-00511 Уплотнитель дверной 2141 | ЗЧМ-00598 Уплотнитель крышки багажника 2141 (Югосл | КЗ-00183 Уплотнитель рулевой колонки ГАЗ-3110 | КЗ-00536 Уплотнитель рулевой колонки УАЗ-Патриот | ОК-00264 Уплотнитель шестерни | РИ-00123 Уплотнитель стёкол наруж. перед./зад 2109 | А-00322 Уплотнитель дверей от пыли
legacy_elektrika_rele|реле|elektrika|rele,rele,GROUP_REVIEW,107,elektrika,rele,0.82,1,20,ИН-01322 реле регулятора | ИН-01382 AMD.EL365 Реле-регулятор 3-х конт. Daewo | Р-00048 Реле поворотов 24В | ЭО-00138 Сигналы двойные с реле | ЭО-00348 Реле поворота звуковое 2101-07 | ЭО-00514 Реле силовое 2110 (№ 71.3747-08) | ЭО-00722 Реле регулятор. Нива | ЭОГ-01036 Рем. к-т втягивающего реле КАМАЗ в кор.
legacy_aksessuary_kompressory|компрессор|aksessuary|kompressory,kompressory,GROUP_REVIEW,105,aksessuary,kompressory,0.88,1,20,"А-00138 Компрессор малый (Дания) | А-00301 ""Агрессор"" AGR-35 L Компрессор с LEDфонарём 35л/мин | А-00630 Компрессор АС581 (в кейсе) | А-00665 Компрессор (Дания) | А-00815 Компрессор ""Торнадо"" | А-01008 Компрессор ""Хёндай 40"" | А-01249 Компрессор АС 602 | А-01518 Компрессор Катунь 370"
legacy_kuzov-i-optika_fary|противотуманки|kuzov-i-optika|fary,fary,GROUP_REVIEW,101,kuzov-i-optika,fary,0.82,1,20,"А-00755 Противотуманки ""DLAA"" (круглые) | А-00964 Противотуманки ""Калина"" (со вставками) | А-00966 Противотуманки № 2318 | А-01888 Противотуманки диодные Рено-Логан | ИН-00199 Противотуманки Дэу-Нексиа ст.обр. (к-т, 2 | О-00143 Противотуманки 2 шт | О-00201 Противотуманки желтые (ст. обр.) | О-00221 Противотуманки"
exhaust|глушител|dvigatel-i-transmissiya|vyhlopnaya-sistema,Выхлопная система,GROUP_REVIEW,99,dvigatel-i-transmissiya,vyhlopnaya-sistema,0.88,1,12,"Г-00415 Крышка глушителя КАМАЗ | Г-00596 Труба глушителя изогнутая D=50 мм/угол=90 градусов CBD D5090 | ИН-00747 Болт глушителя Логан, Ларгус 225-903 | ИН-00997 05075 Крепление глушителя | ИН-01142 UP1121401600 Муфта глушителя двойн. D61/6 | К-00666 Набор крепления глушителя 2101-07 | КГ-01119 Втулка соед. глушителя Г-3302,31105 (дв. | ОК-00344 Хомут глушителя (стремянка) 42мм"
tools|съемник|aksessuary|instrumenty,Инструменты,GROUP_REVIEW,95,aksessuary,instrumenty,0.904,1,12,И-00178 Съемник стопорных колец прям. 230мм разжим | И-00235 Съёмник 2-х лапый 150 мм на траверсе | И-00404 Съёмник 2-х лап.+2 доп. 80-120 мм раздвижной (60-200 мм) Воронеж 11788 | И-00408 Съемник 2-х лап. с тонким захватом 150 мм | И-00428 Съемник 2-х лапый раздвижной с фиксатором | И-00462 Съемник 3-х лапый шарнирный 200мм Ф30-210 | И-00484 Съёмник ступицы 2141 | И-00509 Съёмник подшип. ступицы 2108
legacy_podveska_prochaya-podveska|шквор|podveska|prochaya-podveska,prochaya-podveska,GROUP_REVIEW,95,podveska,prochaya-podveska,0.82,1,12,КЗ-00839 Шкворень буксировочный Валдай | ХСГ-01175 Шкворни УАЗ с/о в сборе | ЗЧМ-00640 Шкворни ЛУАЗ (к-т 4 шт) | И-00035 Развёртка шкворней Газель | И-00137 Развертка Ф-25 Газель шкворневая длинная с направляющей | И-00377 Приспособление для протяжки втулок шкворне | И-00508 Развертка шкворней ЗИЛ | И-00574 Развёртка шкворней ГАЗ-53 на 30
spring|пружин|podveska|pruzhiny,Пружины,GROUP_REVIEW,94,podveska,pruzhiny,0.88,1,12,"ЗЧМ-00333 Подкладки пружин Москвич 2140 | ЗЧМ-00481 Чашки зад. пружин 2141 | КЗ-00632 Крышка консоли ГАЗ-3110 с пружиной | СЦ-00015 Пружинка вилки сцепления 2101-07 | ХС-00032 Чашки пружин | ХСГ-00285 Подкладка под пружину Соболь (за 1 шт) | А-01646 Провод ""AUX"" пружинный | ЗКГ-00205 Пружинка фиксатора Волга (3 шт.)"
body_exterior|крыло|kuzov-i-optika|kuzovnye-detali,Кузовные детали,GROUP_REVIEW,91,kuzov-i-optika,kuzovnye-detali,0.883,1,12,"Ж-00132 Крыло ГАЗ-31105 перед. лев., прав. | Ж-00239 Крыло ГАЗ-3302 перед. н/о пластик (к-т) | Ж-00257 Крыло Г-3302 н/о (к-т) пластм. улучш. (цв. | ЖЛ-00009 Крыло 21099 заднее левое | ЖЛ-00010 Крыло 21099 заднее правое | ЖЛ-00011 Крыло 2106 переднее | ЖЛ-00018 Крыло 2104 заднее левое | ЖЛ-00140 Крыло правое заднее 2121"
cooling|термостат|dvigatel-i-transmissiya|ohlazhdenie,Охлаждение,GROUP_REVIEW,90,dvigatel-i-transmissiya,ohlazhdenie,0.885,1,12,"ДВГ-00551 Термостат Таврия | ДВГ-00811 Патрубок термостата Г-3110,3302 (дв.406) 4-х слойн. корот. силикон | ДВГ-02192 Патрубок термостата Г-2410,3302 (дв.402) 4-х слойн. (L=70мм d=38) силикон | ЗЧМ-00051 Термостат Москвич 2140-412 | ЗЧМ-00577 Шланг термостата Москвич 412 | ИН-00339 Термостат ДЭУ-Матиз | ИН-00361 LT 0526 Термостат AVEO/LACETTI/NEXIA | ИН-00556 Термостат ПЕЖО"
legacy_dvigatel-i-transmissiya_toplivnaya-sistema|бензонасос|dvigatel-i-transmissiya|toplivnaya-sistema,toplivnaya-sistema,GROUP_REVIEW,88,dvigatel-i-transmissiya,toplivnaya-sistema,0.82,1,12,"ДВГ-01110 Бензонасос УАЗ (дв. ЗМЗ-514) подкачив. | ДВГ-01223 Бензонасос УАЗ (дв. ЗМЗ-514) подкачив. | ДВГ-01652 Бензонасос УАЗ-Патриот (дв. IVECO) погру | К-00138 Болт М 5 д. бензонасоса ВАЗ | Р-00052 Бензонасос Волга | ЭО-00883 Бензонасос 1118,2170 инж.1,6 в сб.,21083, | ЭОГ-00518 Бензонасос ""БОШ"" ГАЗ-560 дв. | ЭОГ-00534 Бензонасос ГАЗ-3302 (дв.405) погруж."
